P30615	Pyruvate kinase 1
P39938	40S ribosomal protein S26 A
P39939	40S ribosomal protein S26 B
Q3M5E4	NTF2 like Protein
Q3M5E3	Xylose isomerase like TIM barrel
A2DM53	Ribosomal protein L22 putative
Q3M5E0	Uncharacterized protein
Q8DIQ1	PSII 47 kDa protein
Q76EB7	Formate dehydrogenase
Q07923	Azoreductase LOT6
P23793	Arginine deiminase
P38339	Related GAP domain protein 1
P38333	Essential nuclear protein 1
B2G3D0	ATP grasp ligase
Q6RHR9	BAI1 associated protein 1
Q9Z6Y0	Thioredoxin disulfide Isomerase
Q9C0L9	Protein SEY1
O82040	Polcalcin Phl p 7
P39688	Proto oncogene c Fyn
P01986	Hemoglobin alpha A chain
Q8U1N9	exonuclease putative
P01981	Hemoglobin alpha A chain
P39682	Pre mRNA processing factor 39
Q8U1N0	Hypothetical protein PF1176
P03856	Replication initiation protein
Q8TZY2	Chromosome partition protein Smc
Q8TZY3	Putative uncharacterized protein
O39828	Master replication protein
Q7NW74	Uncharacterized protein
O26735	Conserved protein MTH639
P02724	MN sialoglycoprotein
P02722	ADP ATP translocase 1
O00370	LR1
B2HUN5	Dephospho CoA pyrophosphorylase
Q9BZC1	CUG BP and ETR 3 like factor 4
X5B9E9	Flagellar protein flhE
Q83DY0	Hypothetical cytosolic protein
P52434	RPB8 homolog
Q9TZZ6	ornithine decarboxylase
P9WIP7	protein Lsr2
P9WIP5	Protein MbtH
P06136	Cell division protein FtsQ
P43254	E3 ubiquitin protein ligase COP1
E1VFE0	Amino acyl peptidase
P97571#Q07009#Q64537	Q64537:
Q8IFK4	hemoglobin A1 chain
Q9NRL2	CHRAC subunit ACF1
Q89E26	Bifunctional protein PutA
Q8MPM3	Transketolase
A4JLJ7	Aldehyde dehydrogenase
Q9WXP9	Aminopeptidase P putative
Q61194	Cpk m
Q9WXP0	esterase
Q61191	C1 factor
I6XA30	Beta lactamase
Q9KAF6	unknown conserved protein BH2331
Q9I0N4	thiosulfate Sulfurtransferase
Q6B856	Bovine beta Tubulin
Q02834	BACTERIAL Sialidase
Q83EM7	Dephospho CoA pyrophosphorylase
A0A0H4CWF2	E1 envelope glycoprotein
Q9HTL4	OxyR
Q9I740	Uncharacterized protein
Q9GL76	Herpes virus entry mediator C
Q5KW03	Hypothetical conserved protein
Q5SIT7	V type ATP synthase subunit K
Q8KN33	Putative glutathione transferase
A8KRL3	Putative thiaminase II
Q14527	RING finger protein 80
Q9YC02	Exosome complex component Rrp4
Q14524	HH1
P04079	GMP synthetase
P04075	Lung cancer antigen NY LU 1
A3DJS9	CARBOHYDRATE BINDING FAMILY 6
P04072	Thermitase
P04070	Vitamin K dependent protein C
A6ND01	IZUMO1 receptor protein JUNO
A0A0H3CIX8	uncharacterized protein
P00767	Chymotrypsinogen B
P00766	CHYMOTRYPSIN A chain C
P00763	trypsin II
P68661	Uncharacterized protein YbcO
P00761	PORCINE E Trypsin
P00760	ANHYDRO trypsin
Q5SHF6	PILI RETRACTION PROTEIN PILT
Q5SHF5	Pantothenate synthetase
O28071	UPF0165 protein AF_2212
P16027	MEDH
O28076	H4MPT formyltransferase
O28077	Dephospho CoA pyrophosphorylase
P0A7E5	CTP synthetase
Q9AZ01	Terminase small subunit
Q16968	PROTEIN POTASSIUM CHANNEL KV1.1
P12916	Genome polyprotein
P12915	Genome polyprotein
Q4J9H5	VWA2
Q05785	Epsin 2
P00720#P38507	Lysozyme
Q2SZ78	Glutamate dehydrogenase
Q05783	HMG D
Q05789	Autophagy related protein 38
A8IYS5	Septin like protein
M9P7S0	NS3 Helicase
Q26966	trans sialidase
A0A0B4J277#P01848	T cell receptor alpha chain
Q26964	Trans sialidase
P00720#Q08BG4	Lysozyme
E2IHB7	Lantibiotic dehydratase
Q5FJB3	OMP decarboxylase
Q9JIY2	c Cbl like protein 1
G1JUF7	Hemagglutinin
Q5F6V7	Disulfide interchange protein
B8AVF0	Beta glucosidase 12
C1L336	Carbonate dehydratase
P11245	N acetyltransferase type 2
Q9I746	HSIE1
P61018	Ras related protein Rab 4B
P61019	Ras related protein Rab 2A
H9GIV0#P63250	P63250:
Q9V250	Oligosaccharyl transferase
P61012	Cardiac phospholamban
P61013	Cardiac phospholamban
Q3JPI3	UDP glucose 4 epimerase
Q6N4D8	Protein of Unknown Function
O29386	Putative snRNP Sm like protein
O15455	Toll like receptor 3
Q06205	FK506 binding protein 4
Q06208	Protein RIF2
P11799	RS20
Q81LZ8	Procollagen Proline Dioxygenase
O59651	Peroxidase catalase 2
G1SED9	UNCHARACTERIZED PROTEIN
P11795	Coat protein
P11797	Chitinase B
P12269	IMPDH II
P12268	IMPDH II
P17081	small GTP binding protein TC10
A7LRD6	hypothetical protein
Q14CW9	Ataxin 7 like protein 3
P12263	Coagulation factor VIII
T1RTG8	Serine repeat antigen protein
P52230	Thioredoxin 1
P13792	PhoP response regulator
G1TIB4	Uncharacterized PROTEIN
P59745	UPF0249 protein EF_3048
P13796	L plastin
P13797	T plastin
P13794	Outer membrane porin F
P51512	MMP X2
P51513	RNA binding protein Nova 1
Q9EB08	serine protease
Q65YW7	Alanine racemase
A0FGR8	Chr2Syt
Q9EB06	COAT PROTEIN
Q88E39	SENSORY BOX PROTEIN
P0AD89	Tryptophanase leader peptide
O67141	Elongation factor SelB
Q96CV9#Q9GZQ8	NEMO related protein
P55980	CagA
P55984	Isoprenyl transferase
P0A0K6	Thioredoxin
Q3E792	RP45
P0A0K8	DNA gyrase subunit B
Q926Z8	Lin2891 protein
P10688	Phospholipase C delta 1
Q81FP2	B.cereus zinc binding protein
A2V759	Aminopeptidase
Q14896	C protein cardiac muscle isoform
Q14894	Ketimine reductase mu crystallin
P10686	Phospholipase C gamma 1
Q8EDS4	Hypothetical protein SO2669
A9CP13	D serine dehydratase
Q24NB0	Uncharacterized protein
A7XXR1	Phage terminase large subunit
O00330	proX
G0S5S6	SYMPORTIN 1
P13134	Protease KEX2
Q6CIU1	KLLA0F23980p
Q8FHC7	D mannonate dehydratase
P60057	Hellethionin D
P0A2M9	Secreted effector protein SpvC
O06995	Beta phosphoglucomutase
O06994	Oligo 16 glucosidase 1
Q9VS34	60S ribosomal protein L18
P60058	SEC61G
P0AB26	Uncharacterized lipoprotein YceB
P0AB20	hypothetical protein b0966
P16568	Protein bicaudal D
Q5WPU9	43.2 kDa salivary protein
P9WK81	Putative lipoprotein LppA
P9WK83	Lipoate protein ligase B
Q928A2	Lin2634 protein
P16562	Testis specific protein TPX 1
P16563	Testis specific protein TPX 1
P94690	cytochrome c3
P94691	Basic cytochrome c3
O96790	DIPETALIN
O58212	hypothetical protein PH0463
O58216	PF00702 domain protein
O58214	UPF0106 protein PH0461
P0A729	Maf like protein YceF
O33840	Pullulan 6 glucanohydrolase
Q5L3S8	Cysteine synthase
I6L978	antibody light chain FAB
P58329	Cyanuric acid amidohydrolase
Q57XD5	3 KETOACYL COA THIOLASE PUTATIVE
H9KVH9	LbpB B lobe
P0A720	PROTEIN Thymidylate kinase
Q6V4L8	VEK 30
P53829	40 kDa CCR4 associated factor
Q8PET6	Beta xylanase
Q96SW2	Protein cereblon
A2QHE5	Phenacrylate decarboxylase
Q9SE42	Ribulose 5 phosphate epimerase
P03001	Transcription factor IIIA
Q1WSH7	Sex pheromone precursor
Q23G98	RPL37A
Q0R4E3	Cj0977
P60492	50S ribosomal protein L20
B3VKN3	50S ribosomal protein L2
Q8CGC6	RNA binding motif protein 28
E9Q401	Cardiac Ca2+ release channel
O75469	Pregnane X receptor
O75460	Ire1 alpha
P27707	Deoxycytidine kinase
Q9F3C7	formylglycine generating enzyme
P27708	CAD protein
N8N848	Brucella ovis oxidoreductase
Q7CG46	LsrG protein
P0A7K2	ribosomal L7 protein
P28700	Retinoic acid receptor RXR alpha
P28707	Co chaperone protein SBA1
P0A7K6	50S ribosomal protein L17
O49003#Q15811	Q15811:
Q58193	Uncharacterized protein MJ0783
Q12390	GST II
Q8BGS2	BolA like protein 2
P25635	U three protein 1
Q9ULI3	Protein HEG homolog 1
Q9ZBK1	Crotonyl CoA reductase
P00044	iso 1 Cytochrome c
O25294	Leucine aminopeptidase
P78737	Ptr necrosis toxin
P67080	UPF0001 protein YggS
Q9H8M5	Cyclin M2
P00045	Cytochrome c
A1E4C6	E protein
Q9H8M2	Bromodomain containing protein 9
Q41290	DHURRINASE
Q63X76	16S rRNA dimethylase
P20282	BS14
A0A0Q9UXH6	TRANSAMINASE
P61869	Mono and diacylglycerol lipase
Q02487	Desmocollin 2
P9WGT1	Putative oxidoreductase Rv2002
P9WGT3	Beta ketoacyl ACP reductase
P05674	p130
P9WGT6	Antigen Ag88
A0R5M9	Amidohydrolase EgtC
Q9WX76	Ribosome recycling factor
Q7Y0Q9	Cysteine proteinase inhibitor
Q8K337	Phosphoinositide 5 phosphatase
P00558	Primer recognition protein 2
O31691	PtsGHI operon antiterminator
O31697	Uncharacterized protein YkzF
O05415	TnpX
O31698	hypothetical protein BSU14130
O31699	YkuV protein
R9UQ53	S protein
O69231	Endo 14 beta xylanase B
Q9HUV7	RETS HYBRID SENSOR KINASE
B3DUZ7	Hemoglobin like flavoprotein
P0A836	PROTEIN Succinyl CoA ligase
Q93UV9	protease
Q27428	Troponin C
Q8TGZ5#Q8TGZ7	Q8TGZ7:
P31930	Complex III subunit 1
Q9KPY6	AIRS
P0AEX9#Q8WR62	MMBP
Q9HCM9	RING finger protein 23
P24941	protein CDK2 HUMAN
Q8IWB6	Testis expressed sequence 14
Q9HCM2	Plexin A4
P00720#P21453	Lysozyme
Q9C9C9	Cytosolic sulfotransferase 18
O43189	PHD finger protein 1
G9BEX6	Soluble epoxide hydrolase
Q9Q2W5	Hemagglutinin neuraminidase
O43181	Complex I 18 kDa
P61968#Q99708	P61968:
Q9VR35	GH11071P
A8LP63	blue light photoreceptor
P33679	Zeamatin
P33673	PROTEIN Chitosanase
P33672	Proteasome theta chain
Q06811	Polyprotein ABA 1
P22621	Merozoite surface antigen
Q9NUX5	Protection of telomeres 1
Q08884	NARBONIN
A2RP61	30S ribosomal protein S9
P22629	Streptavidin
Q08881	Tyrosine protein kinase ITK TSK
Q04272	ESCRT III complex subunit VPS20
Q8ZL08	D serine deaminase
Q8SV19	Adrenodoxin
H2J4R4	Argonaute protein
Q7MTR1	Polyphosphate kinase
Q6UXV0	GDNF family receptor alpha like
Q0ZCI9	8f9 Fab
Q83KU0	Uncharacterized protein
Q9H1E1	Ribonuclease 7
P07119	C phycocyanin 1 beta chain
B1YKJ9	Protoporphyrinogen oxidase
Q89GW5	Metallo beta lactamase
Q8B0H7	Matrix protein
W8U1C6	30S ribosomal protein S12
P33261	R limonene 6 monooxygenase
Q76MZ3	PP2A subunit A isoform R1 alpha
O30126	O phosphoserine tRNACys ligase
O30124	SIR2 Af2
Q9EYX5	Zinc transport protein ZntB
Q0PBL7	Major antigenic peptide PEB3
P9WJA3	hypothetical protein RV2626C
Q8YSJ5	Alr3090 protein
A6L1M8	uncharacterized protein DUF1344
Q2YD98	UV stimulated scaffold protein A
A2ASQ1	Agrin
C8V0B5	HapE
P30328	VP54
P20917	Myelin associated glycoprotein
Q0P8U5	UDP sugar hydrolase
A4I8P2	THIOL DEPENDENT REDUCTASE 1
O67503	Hypothetical protein Aq_1549
O67502	Tryptophan synthase alpha chain
O67504	Cytochrome c552
Q2SWE7	Nucleoside diphosphate kinase
P25397	Tellurite methyltransferase
Q2SWE3	Histidyl tRNA synthetase
P25398	ribosomal protein ES12
Q9WUF4	Endobrevin
Q86Y39	Complex I B14.7
O70239	Axin 1 protein
Q83AC2	16S rRNA dimethylase
Q9Y7N2	Mediator complex subunit 19
P84479	Hemoglobin beta chain
P71346	Ribosome associated inhibitor A
P04722	Alpha beta gliadin A II
Q9J3N1	Envelope glycoprotein L
P01619	Ig kappa chain V III region B6
Q08012	Protein Esev2B
W8UVN7	50S ribosomal protein L30
W5NQT7	Acyl carrier protein
P09429	High mobility group protein B1
A2DNM5	Ribosomal protein L5
O33471	Styrene monooxygenase A
Q87WS9	UPF0307 protein PSPTO_4464
F2ZAL8	Phycoerythrin alpha subunit
P09425	Outer wedge of baseplate protein
O53240	hypothetical protein Rv2991
A5KBL5	Adenylosuccinase
M1E1F9	LOV protein
Q9Y6C2	EMILIN 1
P08773	dCMP hydroxymethylase
F1SGC7	MRPL47
Q9VDR7	Miranda
A6N8P1	Minicollagen 5
P22314	Protein A1S9
P70696	Histone H2B type 1 A
Q6GGU4	3 dehydroquinate synthase
Q7TSN7	Junctional adhesion molecule 4
A1JMA5	Oligogalacturonate lyase
P06396	Gelsolin 150 169
P35914	Hydroxymethylglutaryl CoA lyase
P35916	Fms like tyrosine kinase 4
C6S3G4	60S ribosomal protein L41
M1E1F1	S64
Q61354	Biliary glycoprotein
Q59787	Polyol dehydrogenase
I6XG39	Genome polyprotein
P0A7L8	50S ribosomal protein L27
Q9X4Q8	NQR complex subunit F
Q9X4Q7	NQR 1 subunit E
Q9X4Q6	NQR complex subunit D
A4IPE6	HISTIDINE KINASE
Q4Q6K7	Mevalonate kinase putative
Q55777	DHNA CoA thioesterase
Q969E3	Urocortin 3
P09286	Capsid scaffolding protein
B6F143	Glucuronan lyase A
P24119	L21
Q8YT42	Circadian clock protein KaiA
P00568	Myokinase
Q08506	Ethylene forming enzyme
Q8YT41	Circadian oscillation regulator
P0C7U7	Virulence associated V antigen
P00560	3 Phosphoglycerate kinase
P00563	PROTEIN Creatine kinase
P76524	Aminopeptidase YpdF
A0A0H3JX93	uncharacterized protein
Q92WS7	Aldehyde dehydrogenase NADP+
Q8W453	DIR1 Protein
Q8GT96	recombinant Ib pronapin
P70662	LIM domain binding protein 1
Q8VCQ6	Transmembrane protein 23
Q9H492	MAP1A MAP1B light chain 3 A
Q8VIM0	T cell membrane protein 3
P43985	YecO
Q48468	Nitrate regulatory protein
P08487	Phospholipase C gamma 1
A7YKL0	p66 RT
A0A045IWV9	50S ribosomal protein L16
Q92MZ8	Alcohol dehydrogenase
B7MCR3	30S ribosomal protein S11
B7MCR2	30S ribosomal protein S4
Q96PE7	DL methylmalonyl CoA racemase
P07939	sigma 3 protein
Q27895	Nucleoside triphosphatase II
Q6VT83	Ara h 8 allergen
Q9JZG1	2 isopropylmalate synthase
Q8VSP9	Effector protein OspF
Q62192	Radioprotective 105 kDa protein
B4UQM4#Q9YP62	M2 protein BM2 protein chimera
D1ED56	Amino acid acetyltransferase
Q63244	HNF 3 forkhead like protein 1
Q63245	Forkhead box protein D3
P05414#P20932	P20932:
Q4DZ98	Enolase
A9WFT0	TetR transcriptional regulator
C9EL84	Hemagglutinin
B7NZB1	Fibroblast growth factor
Q9PGZ0	Cysteine protease
P48960#Q9UHX3	P48960:
P69326	Ubiquitin
Q6TFZ7	L protein
O32163	Sulfur acceptor protein SufU
P40984	Ubiquitin protein ligase hus5
G2IN93	Beta etherase
G2IN92	Protein LigF
G2IN91	C alpha dehydrogenase
Q37695	Lipid binding protein
Q93RS6	Uncharacterized protein SCO6318
O27775	unknown
O29630	D tyrosyl tRNATyr deacylase
O29632	DNA ligase
O29634	Ribonuclease HII
Q700B8	CHITINASE C1
Q6P4Q7	Metal transporter CNNM4
P49955	U2 snRNP component HSH155
W5IDB6	Peroxidase
Q4WAW7	Brevianamide F prenyltransferase
Q9NUV9	Immunity associated protein 4
Q9KVU3	Polypeptide deformylase 1
P50910	Xylose isomerase
Q8X737	Adenylosuccinase
Q13S43	Citrate Lyase
Q797E6	YdhG protein
Q51645	L 2 haloacid dehalogenase IVA
O50202	ARC
P03137	Capsid protein VP1
P03135	Capsid protein VP1
P81382	L amino acid oxidase
P03132	Rep 40 Protein
E9AC39	THREONINE ALDOLASE
Q6DNE5	CurH
Q9RRU8	AI 2 synthesis protein
P40363	S formylglutathione hydrolase
P40362	Utp18
Q8WTX7	GATS like protein 3
O58187	IMP aspartate ligase
P38989	DA box protein SMC2
P0AAC8	protein yfhF
P31800	Core protein I
P0AAC0	Universal stress protein E
B9PH47	Enolase
P31809	Biliary glycoprotein 1
A2RJP7	50S ribosomal protein L31 type B
P45850	Germin
Q6DNE3	CurJ
O15047	SET domain containing protein 1A
Q9H6P5	Threonine aspartase 1
Q5XUX0	F box only protein 31
Q8NAV1	Pre mRNA splicing factor 38A
P94458	Beta lactamase
Q90248	BSTI
Q90249	Phospholipase A2 homolog 1
Q9Y010	Nucleosome assembly protein
Q5RKT7	Ribosomal protein S27a
Q5KY38	ThuA like protein
Q0PC96	Cytoplasmic L asparaginase
B2JYH9	Chorismate mutase
Q9BJX6	LytB
P84801	Griffithsin
P80381	30S ribosomal protein S19
P80380	30S ribosomal protein 20
P80382	30S ribosomal protein S18
P17210#Q15691	APC binding protein EB1
Q9RSY7	Thioredoxin reductase
A0A0M3KL13	photosystem I reaction center
Q12824	SNF5 homolog
Q48EL2	YceI like family protein
P43589	Pre mRNA splicing factor SAD1
Q9XB47	Colicin S4
Q9HZK0	N acetyl beta glucosaminidase
Q95NK7	Neurotoxin BmP07
O01382	Caspase
B4Y381	CMP hydroxymethyl CMP hydrolase
O94220	Inulase
A0A151MAL5	beta actin
A6LBD9	PDZ domain protein
Q55949	Nitrilase
P29898	MDH associated peptide
P29899	Cytochrome c551I
P83703	dehydroquinate synthase
W1QGS3	ATP synthase subunit gamma
Q33CG5	H5N1 INFLUENZA A Nucleoprotein
G3X982	Aldehyde oxidase 3
A8JAR4	Chlamydomonas reinhardtii THB1
P39769	Polyhomeotic
Q95KV7	Complex I B16.6
P39767	Porin
P39765	Bifunctional protein PyrR
A0JWG4	GCN5 related N acetyltransferase
P49028	mago nashi Protein
D3KVM3	Glycerol kinase
P49023	Paxillin LD4 peptide
O13833	Caffeine induced death protein 1
O13836	Dhp1 interacting protein 1
P49024	Paxillin
Q9NVS2	mL66 bS18a
Q9WJJ4	Epitope peptide
Q9NVS9	Pyridoxamine phosphate oxidase
A6T925	OHCU decarboxylase
A6T926	5 hydroxyisourate hydrolase
Q9I5U2	LPS assembly protein LptD
Q9Z4Z5	asparagine oxygenase
Q99895	Caldecrin
P44897	UPF0352 protein HI0840
O51345	Glutamate tRNA ligase
O29998	UPF0066 protein AF_0241
P17948	VEGFR1 peptide
P28278	Envelope glycoprotein L
Q04087	Loss of rDNA silencing protein 4
Q04089	Lysine N methyltransferase 4
Q9WZW8	tRNase Z
Q14289	Focal adhesion kinase 2
Q9WZW0	tRNA pseudouridine synthase B
Q9WZW1	Riboflavin biosynthesis protein
Q97FM4	8 oxoguanine DNA glycosylase
Q9PP65	Enoylpyruvate transferase
P52663	Carbapenemase
Q00P86	beta lactoglobulin
B2RKU3	Dipeptidyl peptidase IV
P52664	Cefuroximase
O94316	Pre mRNA splicing factor cwf10
P53396	ATP citrate synthase
Q94FS7	PHYTOTOXIC PROTEIN PCF
Q5CR27	Lysine tRNA ligase
Q13395	TAR RNA binding protein 1
Q13394	Protein mab 21 like 1
W0TA43	Atg13 MIM
A0KF84	Imidazolonepropionase
Q9KTL2	Geranyltranstransferase
Q99278	Mediator complex subunit 11
Q99279	Adenylyl cyclase
Q5UP71	Mimicyp
E5RWQ2	Beta galactosidase
N1P1M8	Rpl9ap
Q99PV3	Muskelin
P96142	Valine tRNA ligase
C0HK49	Defensin NsD7
Q9ALS9	Putative aminotransferase
A0A0N5DEJ7	Tm16
O15865	PfCDPK2
E9BPR7	ribosomal protein S15
Q9NZ08	ARTS 1
Q9NZ09	Ubiquitin associated protein
Q8PV92	Thioredoxin
Q9NZ01	Synaptic glycoprotein SC2
P62576	Neuraminidase A
P62575	Neuraminidase A
P53539	Protein fosB
C3TPN2	30S ribosomal protein S2
P11454	Seryl AMP ligase
Q9MBY2	Gp6
P11451	Chlorocatechol 12 dioxygenase
C3TPN7	Peptidase M
Q72IS6	SOXY PROTEIN
Q9W334	40S ribosomal protein S28
Q58T52	Antimicrobial peptide
O28220	UPF0130 protein AF_2059
Q8GTB6	THCA synthase
Q8GTB5	cytochrome c6
Q96FW1	Otubain 1
Q8VIP2	MLX interactor
Q8J0K8	CELLULASE
Q9YKL3	Genome polyprotein
Q8J0K6	Cellulose 14 beta cellobiosidase
B3F051	Defensin Lc def
A0A0H2UL04	Ribokinase
O51614	Chemotaxis operon protein CheX
O67745	Hypothetical protein
Q9Y2I1	Imidazoline receptor 1
O04147	Cyclic phosphodiesterase
Q9BY49	HPDHase
Q9BY43	Chromatin modifying protein 4a
Q9BY41	Histone deacetylase 8
Q96PZ0	Pseudouridylate synthase 7
L9KL62	Negative elongation factor E
A4XF23	D mannonate dehydratase
C4IR59	Acetyltransferase
Q8EIN8	hypothetical protein SO0799
Q8VLK7	Pseudopilin GspK
Q9P0S9	Transmembrane protein 14C
Q8PJC5	XAC2610 protein
Q9NQ75	HEF1 EFS p130Cas like protein
P00720#P08173	Lysozyme
P00720#P08172	Muramidase
E9ADX4	Tryparedoxin
Q7M135	Lys C
A5TY84	Serine threonine protein kinase
A0A0A0V662	Venom peptide U3 SYTX Sth1a
Q6TRU9	ORF E73
Q5NE79	Tryptophan synthase beta chain
P34942	Complex I 42kD
Q03048	Actin depolymerizing factor 1
L0CTV4	VP1
A0A0A0YMQ9	LIPASE
Q6MPX4	Probable pyrophosphohydrolase
O88188	Lymphocyte antigen 86
Q00539	Protein NAM8
Q07749	Uncoordinated protein 60
P0AEX9#Q62227	MMBP
Q00535	Cell division protein kinase 5
Q00534	Cell division protein kinase 6
Q5LIP7	Putative adhesin
Q00536	Cell division protein kinase 16
Q2G8A3	Ferredoxin
Q00532	Cyclin dependent kinase like 1
O00244	Copper transport protein ATOX1
O00241	Signal regulatory protein beta 1
Q13835	Band 6 protein
Q6V2E7	Fusion glycoprotein F0
B0V9K7	Lipase
Q7Z3T8	Endofin
Q13838	DEAD box protein UAP56
Q1XDX7	AclR protein
B2HIZ6	ARYLAMINE N ACETYLTRANSFERASE
O58022	UPF0273 protein PH0284
O58023	MetRS related protein
Q14U75	Beta 2 microglobulin
Q9HY79	Ferroxidase
Q7L266	Isoaspartyl dipeptidase
K9N5Q8	Spike glycoprotein
Q9UJ70	GlcNAc kinase
Q9UJ71	Langerin
Q9UJ78	Zinc finger protein 198 like 1
Q8KRK5	CYTOCHROME C OXIDASE
P32729	Probable ribosomal protein YlxQ
P10477	ENDOGLUCANASE E
P10475	Endo 14 beta glucanase
Q72G28	Isochorismatase family protein
O00206#Q4G1L2	hToll
P59285	Ureidoglycolatase
P10478	14 beta D xylan xylanohydrolase
Q8JPY0	Polymerase cofactor VP35
P21189	DNA polymerase II
Q9SQL2	LHCI type III CAB P4
A4XEF6	Enoyl CoA hydratase isomerase
A2ECR7	Ribosomal protein L15
Q3IWB0	Tyrosine ammonia lyase
Q6CPV9	KLLA0E01827p
P32914	Chromatin elongation factor SPT4
P32917	24mer peptide from Protein STE5
P32916	Docking protein alpha
P32911	Protein translation factor SUI1
P32910	C34
P32912	Vacuolar morphogenesis protein 7
P0A8G6	NADPH dehydrogenase quinone
P0A8G0	Excinuclease ABC subunit C
Q8KHZ8	tryptophan halogenase
Q9AMH9	PUTATIVE REPRESSOR SIMREG2
Q11T61	D Ala D L Ala epimerase
P21454	MonoADP ribosyltransferase SpvB
P21457	Recoverin
P9WI71	Serine threonine protein kinase
Q8KF02	60 kDa chaperonin
O94788	Aldehyde dehydrogenase 1A2
Q80W68	Kin of IRRE like protein 1
A9CIG0	Uncharacterized protein Atu1953
Q92CB1	Lin1278 protein
A9CIG4	hypothetical protein Atu1913
Q46822	IPP:DMAPP isomerase
Q08291	Farnesyl diphosphate synthase
Q46829	6 phospho beta glucosidase BglA
Q82V11	NE1300
A0QSG5	50S ribosomal protein L18
Q09161	CBP80
P22195	PNPC1
Q9HWU3	Chaperone CupB2
A0QSG6	30S ribosomal protein S5
Q9HWU7	Fimbrial subunit CupB6
A0QSG7	50S ribosomal protein L30
P25373	Glutaredoxin 1
Q40378	TRYPSIN INHIBITOR T1
Q841S6	Methyl Parathion Hydrolase
E7N5J9	Arthropod defensin
P43642	Type II restriction enzyme MunI
Q9UHF4	IL 20R1
Q9ALN7	NDP forosamyltransferase
P41214	Ligatin
Q689G3	Envelope protein
Q961D9	Protein BCL9 homolog
P41212	Transcription factor ETV6
P0C1V1	Delta toxin
Q7WSJ4	Aldoxime dehydratase
Q92EX4	Lin0334 protein
D9IEF7#Q9BTU6	Q9BTU6:
P0AEE3	Site 1 protease DegS
Q8CJF7	Protein ELYS
P0AEE8	DNA adenine methylase
O08623	p62_peptide from Sequestosome 1
A0R6F1	Pyridoxamine 5 phosphate oxidase
O69007	MALTOGENIC AMYLASE
A0A127X8Q2	PHOSPHOGLYCEROL TRANSFERASE
O69002	hypothetical protein pa HO
E9BBL5	eL42
P0CB20	Con ikot ikot
O75164	Lysine specific demethylase 4A
A0A0J9X291	DYNACTIN SUBUNIT 6
A0A0J9X292	DYNACTIN
A0A0J9X293	DYNACTIN
P67273	UPF0135 protein SA1388
A0A0J9X299	DYNACTIN
P06865	beta hexosaminidase alpha chain
A2FA40	Ribosomal protein L7Ae putative
